,artist,track,energy,valence
1072,Hot Chip,Hold On,830.0,620.0
1073,Lollipop Lust Kill,Bury You,960.0,440.0
1074,Bill Douglas,Highland,270.0,470.0
1075,Los Fabulosos Cadillacs,Matador - Remasterizado 2008,960.0,640.0
1076,Georges Brassens,Colombine,200.0,700.0
1077,Chariots,Ghosts,840.0,80.0
1078,Mudhoney,It Is Us,930.0,160.0
1079,Apache Indian,Badd Indian,630.0,570.0
1080,Kari Tapio,Rakkauden veteraani,560.0,500.0
1081,Bob Carlisle,Somewhere,600.0,220.0
1082,Gwar,Surf of Syn,810.0,760.0
1083,Mongo Santamaria,Hush,510.0,860.0
1084,Ronnie Milsap,Wrong End Of The Rainbow,270.0,200.0
1085,Various Artists,If Santa Claus Could Bring You Back To Me,80.0,470.0
1086,Various Artists,You Are! - Markus Guentner Fast Food Remix,400.0,320.0
1087,James Scott Skinner,Mrs Scott Skinner / Mackenzie Hay / The Devil's Elbow,180.0,690.0
1088,Evolution,Peyote,980.0,350.0
1089,Mix Mob,Intro: The Dragon,680.0,520.0
1090,Cake,Alpha Beta Parking Lot,650.0,850.0
1091,Gustavo Cerati,Amo Dejarte Así,530.0,510.0
1092,Lore,Pluvialus,290.0,50.0
1093,Goldfinger,Forgiveness,830.0,760.0
1094,The Embarrassment,Song For Val,840.0,790.0
1095,Tiny Bradshaw,The Train Kept-a-Rollin',550.0,730.0
1096,Latif,Luv In the First,570.0,420.0
1097,Rickie Lee Jones,Love Is Gonna Bring Us Back Alive,400.0,890.0
1098,Jerry Goldsmith,"Main Title - From ""Rudy""",100.0,60.0
1099,Matteo Bonfanti e i Maledetti,Plaza De Mayo,660.0,910.0
1100,Naseebo Lal,Dil Naheen Lagda,680.0,950.0
1101,Seal,Whirlpool - Live,660.0,600.0
1102,Tesla,The Way It Is,820.0,540.0
1103,Utopia,The Up,750.0,670.0
1104,Der Plan,Frisch Verliebt,680.0,960.0
1105,Eurythmics,Missionary Man,850.0,570.0
1106,Talvin Singh,Traveller - Leafcutter John Remix,500.0,120.0
1107,Curtis (冷炫忱),Superstar Dog,880.0,910.0
1108,Toby Emerson,Rapture - Toby Emerson Dub,890.0,890.0
1109,Deep Forest,Madazulu,880.0,780.0
1110,Tampa Red,If I Had Known,250.0,700.0
1111,Every Time I Die,Depressionista,960.0,550.0
1112,Lifer,Boring,930.0,370.0
1113,Diamond D,Intro (feat. Snooze & Verse),870.0,680.0
1114,2Fresh,Get It Started - Original,740.0,180.0
1115,Ndala Kasheba,Marashi Ya Pemba,920.0,780.0
1116,New Roanoke Jug Band,Cold Icy Floor,260.0,610.0
1117,Joe McBride,This Is How A Heart Breaks,510.0,820.0
1118,Lady Saw,Bare As You Dare,610.0,780.0
1119,The Stranglers,It Only Takes Two to Tango,810.0,280.0
1120,Lyrics Born,Bad Dreams,670.0,890.0
1121,George Michael,Praying for Time - Remastered,620.0,260.0
1122,Tulipunaruusut,Ilta Oulunjoella,420.0,980.0
1123,David Hudson & Friends,Monkey And Turtle,600.0,820.0
1124,Joe Satriani,Echo,600.0,660.0
1125,Fruko Y Sus Tesos,"Mega Mosaico de Fruko: El Preso, El Caminante, Tania, El Ausente",670.0,880.0
1126,Emperor,With Strength I Burn,940.0,40.0
1127,Guns N' Roses,Locomotive (Complicity),980.0,440.0
1128,Speaker,Joking,820.0,360.0
1129,Faiz Ali Faiz,Lagian ne maujan,820.0,910.0
1130,Gold City,What Child Is This?,280.0,120.0
1131,Michael Gettel,Safe Passage,380.0,70.0
1132,Restless Heart,That Rock Won't Roll,410.0,730.0
1133,David Evans,Prison Bound Blues,450.0,470.0
1134,Uriah Heep,Wake the Sleeper,870.0,200.0
1135,Stress Assassin,EU A4,510.0,40.0
1136,Margaret Becker,Start The Fire,850.0,500.0
1137,Various Artists,You Said You Loved Me,240.0,360.0
1138,Sugarbomb,Gone,920.0,540.0
1139,Various Artists,Ask Fi War,680.0,700.0
1140,Mägo de Oz,Desde mi cielo - Versión 2011,550.0,290.0
1141,Quinteto Violado,Olha Pro Ceu,840.0,750.0
1142,Paloalto,Seed,810.0,250.0
1143,Kool Savas,Warum rappst du?,920.0,880.0
1144,Mykill Miers,Get Money,580.0,680.0
1145,Joe McBride,One Eyed Jack,650.0,530.0
1146,Margaret Becker,Stay Close To Me,110.0,210.0
1147,Jarvis Church,So Beautiful,700.0,720.0
1148,Orbital,Are We Here?,610.0,320.0
1149,Bongzilla,Cutdown,810.0,470.0
1150,2 minutos,Rompan Todo,960.0,820.0
1151,Orbital,Chime - Edit,920.0,330.0
1152,April Wine,Say Hello,440.0,960.0
1153,Estrellas Cubanas,Fin De Semana,790.0,920.0
1154,Al Denson,Love Is Taking Hold,710.0,500.0
1155,Various Artists,We Are Not Impartial,220.0,210.0
1156,The Cardigans,Paralyzed,660.0,160.0
1157,The Dictators,Weekend,920.0,880.0
1158,The Accursed,Slaughter The Gods,990.0,170.0
1159,Eddy Raven,I Wanna Hear It From You - Digital Re-Recording,540.0,740.0
1160,Floor,Heather,870.0,70.0
1161,Sulk,Only You - Chimi-Changa Club Mix,770.0,160.0
1162,Trafik,Smoke,760.0,650.0
1163,Astarte,Oblivious Darkness,980.0,150.0
1164,Sergio Franchi,Silent Night,210.0,220.0
1165,Mongo Santamaria,Lady Marmalade,760.0,960.0
1166,"The London Pops Orchestra, Lord Nelson Corbin",The Way We Were,120.0,140.0
1167,The Police,Wrapped Around Your Finger,450.0,610.0
1168,Orbit,Nice Ride,710.0,420.0
1169,Bob Dylan,New Pony,570.0,830.0
1170,Heisenberg & The Albuquerque Kingpins,El Manisero (The Peanut Vendor),150.0,600.0
1171,Line Renaud,Gwendolina - Remasterisé en 2013,650.0,830.0
1172,Rhian Sheehan,Degrees of Freedom,520.0,610.0
1173,Roy Brown,Love Don't Love Nobody,610.0,870.0
1174,Cumberland Quartet,One Day At A Time,300.0,530.0
1175,Ray Conniff,My Melody Of Love,490.0,470.0
1176,Blind Willie McTell,Writing Paper Blues,200.0,330.0
1177,U2,FEZ / Being Born,820.0,310.0
1178,Shania Twain,Raining On Our Love,280.0,160.0
1179,Akon,Over The Edge,650.0,300.0
1180,Jo-El Sonnier,Les Grande Bois,550.0,880.0
1181,Since The Flood,All For Nothing,990.0,340.0
1182,Various Artists,My Mind Got Bad,200.0,520.0
1183,Slim Whitman,Serenade,230.0,270.0
1184,Larry Graham,Turn It Out,810.0,800.0
1185,Barley Bree,Flight Of Earls,350.0,670.0
1186,Faron young And Carl Smith,Hey Joe,610.0,650.0
1187,Storyville,Enough,780.0,820.0
1188,The High Strung,The Luck You Got,970.0,310.0
1189,Tony Martin,September Song,50.0,210.0
1190,Jo Privat,Rodriguez Peña,110.0,920.0
1191,James Carter,Strange Fruit,480.0,170.0
1192,Pursuit Of Happiness,Down On Him,750.0,850.0
1193,Mithotyn,Guided By History,910.0,200.0
1194,Francis Lai,Search For Jenny,330.0,130.0
1195,Various Artists,Missing You For A Mile,600.0,680.0
1196,Embrace The End,Ley Lines,980.0,220.0
1197,Steve Green,Even A Child - Proverbs 20:11,400.0,940.0
1198,Leonardo Favio,Porque Yo Te Amo,400.0,210.0
1199,Gloria Lasso,Termina La Feria,290.0,290.0
1200,Patrick Bruel,Au bout de la marelle,670.0,590.0
1201,Julie Zenatti,Ma douleur...,370.0,90.0
1202,Delroy Wilson,Rain from the Skies Mix 2,480.0,820.0
1203,DeGarmo & Key,Destined To Win - Commander Sozo Album Version,660.0,750.0
1204,Pentangle,I Saw an Angel,740.0,550.0
1205,Los Tres Diamantes,Begin The Beguine,390.0,380.0
1206,K-OS,Heaven Only Knows,400.0,850.0
1207,The Michael Landau Group,The Mighty Sb - Live,510.0,240.0
1208,Michael Gettel,The Journey North,820.0,480.0
1209,Babbie Mason,Pray On,320.0,150.0
1210,Bersuit Vergarabat,De Onda,520.0,590.0
1211,Fall Out Boy,The Carpal Tunnel Of Love,950.0,630.0
1212,Various Artists,The Warriors - Deckard Rework,710.0,750.0
1213,Tantric,Coming Undone,940.0,600.0
1214,The Bedwetters,Like a Deck of Cards,990.0,630.0
1215,The Refreshments,Here We Are,930.0,900.0
1216,Various Artists,Apples in the Trees - Live,260.0,400.0
1217,Dee Clark,Just Keep it Up,330.0,920.0
1218,Tom Cochrane,Revelations: Visions In A Dream,560.0,420.0
1219,Charlie Byrd,Choro II - Instrumental,260.0,690.0
1220,Clarisse Lavanant,Beaux parleurs,610.0,740.0
1221,Kassav',An Mouvman,930.0,880.0
1222,Tum Tum,Money In Da Bank,580.0,370.0
1223,Korn,Make Me Bad,800.0,420.0
1224,The Knack,Seven Days Of Heaven,890.0,730.0
1225,From Autumn To Ashes,Sensory Deprivation Adventure,920.0,460.0
1226,The Jackson Southernaires,Lord We Give You All the Praise,500.0,320.0
1227,Casiotone For The Painfully Alone,Dying Batteries,280.0,340.0
1228,Redman,Soopman Luva 6 1/2,690.0,550.0
1229,Cristy Lane,Making Up For Lost Time - Footprints In The Sand Album Version,320.0,250.0
1230,Humble Pie,30 Days In The Hole,870.0,510.0
1231,Patton Oswalt,A Brief History of Shitty Comedy,580.0,620.0
1232,The Kingston Trio,Tom Dooley,140.0,500.0
1233,Various Artists,Un Ojo Dimos,760.0,890.0
1234,Various Artists,Fax Me,250.0,190.0
1235,James Taylor,One More Go Round,470.0,660.0
1236,Brian Tyler,I Dream Of Chi Chi,90.0,400.0
1237,Orquesta Aragón,Eso No Tiene Remedio - Remasterizado,490.0,730.0
1238,Various Artists,Canto Triste,150.0,120.0
1239,Gang Starr,Say Your Prayers,250.0,720.0
1240,Nestor Torres,Rhumboso,360.0,650.0
1241,Pumpkin Buzzard,Gumby Killed The Dinosaur - House Mix,990.0,740.0
1242,Gabriel Yared,Devon,100.0,40.0
1243,Sister Hazel,This Kind Of Love - Full Band,410.0,280.0
1244,Wolfmother,White Feather,860.0,650.0
1245,Janice Robinson,Dreamer - Jamie J Sanchez Club Mix,760.0,390.0
1246,Coldplay,One I Love,780.0,370.0
1247,ZO2,Isolate,950.0,380.0
1248,Methods of Mayhem,Narcotic,960.0,610.0
1249,Bleed The Sky,Kettle Black,940.0,160.0
1250,Fred Locks,Mama Don't Know Love,640.0,550.0
1251,Dolores Keane,Storm In My Heart,320.0,250.0
1252,Adolph Hofner,How I Miss You Tonight,240.0,930.0
1253,Charlie McCoy,Night Life,300.0,340.0
1254,Alex Gopher,Aurora (Rory's Cassette Jam Remix),690.0,250.0
1255,Cockney Rejects,Big Time Charlie,950.0,580.0
1256,Wayne Watson,Somebody Sing,730.0,520.0
1257,Def Souf Records,Keep On Hustlin',380.0,330.0
1258,Sol,Puedes ser feliz,380.0,90.0
1259,Philip Bailey,Sometime Ago,770.0,610.0
1260,Lee Michaels,Uummmm My Lady,420.0,180.0
1261,Mobb Deep,Up North Trip,640.0,770.0
1262,Cherrelle,Into My Eyes,500.0,350.0
1263,Yamandú Costa,Chorando Baixinho,190.0,480.0
1264,Arsonists Get All The Girls,Violence in Fluid Triceratops,970.0,300.0
1265,Teena Marie,How Can You Resist It,280.0,140.0
1266,Jerry Butler,He Will Break Your Heart,620.0,750.0
1267,Sasha Vunjonvic & Allen Dickey,How Could You Do It to Me,500.0,800.0
1268,Avril Lavigne,How Does It Feel,580.0,340.0
1269,James Ingram,A Baby's Born,350.0,260.0
1270,Sister Hazel,Cerilene,520.0,130.0
1271,Juan Carlos Baglietto,Tiempos Dificiles,240.0,130.0
1272,Crabby Appleton,Go Back,930.0,780.0
1273,Remi Nicole,Rock N Roll - Radio Edit,910.0,760.0
1274,All Leather,As The Hog Pisseth,750.0,260.0
1275,Little Milton,My Way,490.0,300.0
1276,Johnny Cash,You Tell Me,770.0,660.0
1277,Candlebox,Lover Come Back to Me,620.0,320.0
1278,Mark Lowry,Jesus Laughing - Some Things Never Change Version,580.0,640.0
1279,Dinosaur Jr.,Been There All The Time,970.0,270.0
1280,Marisela,Loca (a/k/a Crazy) (Version Banda),540.0,760.0
1281,Wilshire,When,720.0,310.0
1282,Autonomous Bass Heads,Beat Conductor,790.0,470.0
1283,Cowboy Mouth,Disconnected,880.0,740.0
1284,Jeff Talmadge,The Hard Part's Letting Go,400.0,160.0
1285,Kryštof,Ostravaczech,510.0,510.0
1286,Dwight Twilley,Tomorrow Never Knows,590.0,40.0
1287,Tum Tum,So Fresh,530.0,780.0
1288,Johnny Osbourne,Come Along,430.0,650.0
1289,Moraes Moreira,Banho de Amor,610.0,810.0
1290,Various Artists,Danote - Club Edit,700.0,740.0
1291,Petra,Angel Of Light - Never Say Die Album Version,750.0,770.0
1292,Plasmatics,Dream Lover,960.0,240.0
1293,Inspiral Carpets,Party In The Sky,470.0,580.0
1294,Yuridia,Regresa a Mí - Unbreak My Heart,450.0,300.0
1295,Furry Lewis,I Will Turn Your Money Green (Tk. 1),90.0,350.0
1296,Various Artists,The Fortway,780.0,900.0
1297,Alberto Cortez,Guitarra dímelo tú,550.0,300.0
1298,Bounty Killer,Gun Thirsty,840.0,860.0
1299,M.I.K.E.,Hollow Dream,360.0,280.0
1300,Bill & Gloria Gaither,Jesus Hold My Hand - The Best of Homecoming Volume 1 Version,580.0,830.0
1301,Various Artists,I Don't Want to be Lonely,510.0,750.0
1302,Les Hou-Lops,Hold me,550.0,620.0
1303,Carolyn Wonderland,I Don't Want to Fall for You,290.0,160.0
1304,Blackalicious,Ego Trip by Nikki Giovanni,670.0,960.0
1305,The Shirelles,Dedicated To The One I Love,320.0,450.0
1306,Alice In Chains,I Know Somethin (Bout You),810.0,600.0
1307,Toots & The Maytals,Sweet And Dandy,700.0,960.0
1308,Fever Ray,When I Grow Up,630.0,550.0
1309,Flor Silvestre,Gaviota Traidora,480.0,900.0
1310,Patrick Lamb,I Remember,850.0,950.0
1311,Asleep At The Wheel,Let Me Go Home Whiskey,380.0,550.0
1312,Amoral,The Last Round,920.0,300.0
1313,L.A. Guns,Magdalaine,790.0,390.0
1314,Stan,Luv,440.0,550.0
1315,Various Artists,Insanity,660.0,40.0
1316,Butthole Surfers,Wichita Cathedral [live],900.0,190.0
1317,Los Brujos,Si Yo Tuviera,340.0,780.0
1318,Various Artists,Piece Of My Heart,880.0,590.0
1319,Vivian Green,Better Man,650.0,810.0
1320,Merzbow,Merzwaltz,310.0,330.0
1321,Charlie Peacock,Hot Night Downtown,640.0,880.0
1322,Various Artists,Tootie Blues,340.0,780.0
1323,Monique Marvez,No Bad Oral Sex / Dick Dessert,690.0,670.0
1324,Dancecore Allstars,When The Sun Comes Out (Bassland Radio Cut),960.0,240.0
1325,Sean Kingston,Face Drop,830.0,740.0
1326,Blind Lemon Jefferson,Gone Dead on You Blues,240.0,470.0
1327,Sergio Dalma,La Marca De Tus Labios,560.0,420.0
1328,The Jane Shermans,Ammunition,860.0,690.0
1329,Bon Jovi,I Love This Town,870.0,770.0
1330,Bescenta,So In Love (feat. Stream),530.0,300.0
1331,"Dave ""Baby"" Cortez",The Happy Organ,890.0,970.0
1332,Bloomfield,Quartier Latin,500.0,360.0
1333,Andrew W.K.,Can You Dance With Me?,980.0,720.0
1334,John Debney,Buddy And Santa's Flight,290.0,250.0
1335,Rakim,Outro,90.0,670.0
1336,Tommy James & The Shondells,Out of the Blue,520.0,560.0
1337,Coraleena Ellis,Wide Awake in a Dream,510.0,830.0
1338,Various Artists,Satin Doll,70.0,100.0
1339,The Chieftains,The Raggle Taggle Gypsy,670.0,820.0
1340,Peter Spence,Baby I,440.0,670.0
1341,Vusi Mahlasela,Pata Pata,830.0,960.0
1342,Marimba Alma de Chiapas de Juan Palacios,Atotonilco,680.0,950.0
1343,Precious Bryant,When The Saints Go Marching In,300.0,270.0
1344,Various Artists,Player No More,440.0,570.0
1345,Jeff Wahl,Waterfall,440.0,660.0
1346,Kapelle Herrenweide,Humppa,640.0,740.0
1347,Jamie Richards,Easier by Now,390.0,180.0
1348,Marcelo Radulovich,Spirit & Machine,530.0,260.0
1349,John Debney,Porcelain Man,100.0,60.0
1350,Various Artists,Turntable Terrorist,970.0,30.0
1351,Backstreet Boys,PDA,840.0,870.0
1352,Lizzy Borden,(Wake Up) Time to Die,830.0,170.0
1353,Eddie Turner,Jody,890.0,760.0
1354,DJ Slugo,Where The Rats (3),650.0,130.0
1355,Jack Off Jill,Horrible,830.0,940.0
1356,Los Fabulosos Cadillacs,Noches Arabes,470.0,780.0
1357,NAZCA PERU,Aurora,860.0,970.0
1358,Hatesex,Hatesex (Reborn),680.0,440.0
1359,The Impressions,Ridin' High,550.0,690.0
1360,Sheila Walsh,Circle Of Hands - For A Time Like This Album Version,730.0,800.0
1361,John Hiatt,Memphis In The Meantime,790.0,890.0
1362,Kool Moe Dee,Knowledge Is King,600.0,530.0
1363,Carlos Ponce,Decir Adios,520.0,230.0
1364,Desert Dwellers,Pranafestation - (Eccodek Remix),640.0,140.0
1365,Brand X,Collapsar,200.0,40.0
1366,Love Generation,Let get it started,530.0,800.0
1367,Lizzy Borden,There Will Be Blood Tonight,990.0,400.0
1368,The Merry Macs,Sentimental Journey,200.0,460.0
1369,The Righteous Brothers,Harlem Shuffle,620.0,540.0
1370,Casual,I Believe,300.0,380.0
1371,The Tragically Hip,The Drop-Off,960.0,790.0
1372,Scott Krippayne,In The Name Of God - Gentle Revolution Album Version,80.0,200.0
1373,Michael Jackson,Tabloid Junkie,880.0,580.0
1374,Sui Generis,Bubulina - En vivo,440.0,40.0
1375,Bebo Norman,Borrow Mine,680.0,440.0
1376,Photek,Under The Palms,230.0,40.0
1377,Isabel Pantoja,Limosna de Amores,700.0,410.0
1378,Bigelf,Superstar,590.0,730.0
1379,Orquesta Sublime,Seis Perlas Cubanas,290.0,900.0
1380,Juanes,Rebelion - Live At La Vida World Tour/2008,940.0,450.0
1381,Bobby Pulido,Mi Alma Esta Enamorada,800.0,840.0
1382,Gustavo Santaolalla,Moving Up,190.0,150.0
1383,Bill & Gloria Gaither,Did You Ever Go Sailin',460.0,320.0
1384,In Extremo,Vollmond - 2006 Version,890.0,510.0
1385,Don Francisco,Give Your Heart A Home,270.0,690.0
1386,Mavado,Real McKoy (feat. Busy Signal),620.0,570.0
1387,Various Artists,Missing (feat. Paula B) [Video Extended],620.0,790.0
1388,Ocho y Media,A la Hora,900.0,950.0
1389,Atari Teenage Riot,Destroy 2000 Years of Culture - Remix,950.0,30.0
1390,Otis Spann,Evil Ways,440.0,570.0
1391,ātman,Distant Voices,380.0,340.0
1392,Frank Ifield,Give Me Your Word,280.0,520.0
1393,Gonzalo Rubalcaba,Improv #1,170.0,190.0
1394,George Lopez,Kids In the Store,740.0,350.0
1395,Cam’ron,Losing Weight Part 2,660.0,430.0
1396,Minipop,Fingerprints,710.0,250.0
1397,Kryštof,Star,540.0,350.0
1398,Jeff Beck,Jody,690.0,800.0
1399,The Del McCoury Band,Rain Please Go Away,590.0,930.0
1400,Mack and Jamie,Goofy Golf,340.0,750.0
1401,F4,Get Back,960.0,740.0
1402,Taste,What's Going On,540.0,640.0
1403,Bebe & Cece Winans,Love Of My Life,730.0,580.0
1404,Joanna Connor,Meditations,440.0,240.0
1405,Various Artists,She Will Never Let Me Down,460.0,900.0
1406,Hemdale,Pus-Filled Carcass,710.0,190.0
1407,Hot Tuna,Death Don't Have No Mercy - Live,190.0,450.0
1408,Year Long Disaster,Stranger In My Room,910.0,330.0
1409,Sam Fan Thomas,Sabina,880.0,860.0
1410,Bob Wills,Bubbles In My Beer,250.0,730.0
1411,Bacilos,Sangre americana,770.0,910.0
1412,Jimmy McGriff,Hip Hug Her,520.0,460.0
1413,Various Artists,In Place Of Love [edit],970.0,120.0
1414,Shinehead,World of the Video Game,640.0,860.0
1415,Sergio Franchi,Arrivederci Roma,150.0,250.0
1416,Cool Cavemen,Burlesque Burglary,820.0,720.0
1417,Johnny Osbourne,Mine Yuh Business,520.0,780.0
1418,Roni Size,Encore - 2008 Re-edit,980.0,480.0
1419,Bally Sagoo,Punjabian Di Chale Glassi,940.0,860.0
1420,Whitney Cummings,Romance,990.0,710.0
1421,Nick Cave & The Bad Seeds,Rock of Gibraltar,640.0,530.0
1422,Various Artists,O' Come All Ye Faithful,200.0,80.0
1423,Charlie McCoy,Blue Yodel No. 1(T For Texas),320.0,750.0
1424,Ross,I Promise My Heart - Extended Version,890.0,800.0
1425,The Oak Ridge Boys,Hide Thou Me,450.0,290.0
1426,Kerson,Melody 2k10,630.0,30.0
1427,Army Of The Pharaohs,Narrow Grave,660.0,520.0
1428,Streetwize,No One,570.0,640.0
1429,Cheo Feliciano,Juguete,300.0,540.0
1430,Various Artists,I Put a Spell on You,430.0,940.0
1431,ātman,Luminous Bliss,620.0,210.0
1432,Forensics,Boat Day at the Marina,680.0,610.0
1433,Sandy Posey,When Will I Be Loved,580.0,840.0
1434,The Winans,Are We Really Doing Your Will?,380.0,300.0
1435,Kathleen Madigan,Religion,600.0,520.0
1436,Stephan Micus,Contessa Entellina,10.0,40.0
1437,Radney Foster,Again,540.0,350.0
1438,The Clark Sisters,Drummer Boy,790.0,220.0
1439,A Challenge Of Honour,Heiliges Feuer,640.0,400.0
1440,Marisela,Un Amor en el Olvido,600.0,380.0
1441,Ed Calle,Bar Talk,640.0,470.0
1442,Boards of Canada,Happy Cycling,430.0,430.0
1443,MU330,Cursed Again,560.0,310.0
1444,Simon & Garfunkel,Old Friends,180.0,300.0
1445,Ed Ames,For Me and My Gal,410.0,620.0
1446,Jah Cure,Freedom,700.0,660.0
1447,Nickelback,We Will Rock You,900.0,290.0
1448,George Nooks,Better Way Of Life,550.0,800.0
1449,Willie Clancy,Double Jig: The Rolling Wave,360.0,620.0
1450,Statues,Urbania,410.0,230.0
1451,The Jackson Southernaires,Thank You Mama,390.0,480.0
1452,The Del McCoury Band,Gone But Not Forgotten,720.0,700.0
1453,Vivian,Celebration,800.0,450.0
1454,Whitney Cummings,Porn,970.0,280.0
1455,Ronnie Milsap,Why Don't You Spend The Night,540.0,520.0
1456,David Bowie,Time Will Crawl - Extended Dance Mix,730.0,740.0
1457,The Roots,The Ultimate - Live (1999 Palais X-Tra),900.0,540.0
1458,EPMD,Mr. Bozack,650.0,560.0
1459,Bruce BecVar,Razamataz,350.0,540.0
1460,Deborah Coleman,Confused,870.0,570.0
1461,Dark Fortress,Evenfall,930.0,150.0
1462,Time Factory,Fleeting Sound,840.0,270.0
1463,Emilio Navaira,Hoy Me Siento Feliz,540.0,950.0
1464,Donna The Buffalo,Garden Of Eden,830.0,850.0
1465,Mindy McCready,Be With Me,650.0,570.0
1466,Korn,Right Now,940.0,380.0
1467,Pat Travers,Black Betty,740.0,750.0
1468,Bobby Russell,Jingle Bell Rock,510.0,960.0
1469,The Sugarman 3,Mulin' Around,900.0,820.0
1470,Dieselboy,Knowledge Of Self - Evol Intent Remix,990.0,110.0
1471,Faking David,Sex Will Sell,930.0,300.0
1472,Eric Burdon,Hook of Holland,870.0,590.0
1473,Geggy Tah,Special Someone,490.0,640.0
1474,Bumblefoot,Piranha,870.0,900.0
1475,Bukka White,Fixin' to Die Blues,310.0,630.0
1476,Foxy Brown,I Can't,740.0,830.0
1477,:Blacks On :Blondes,Sublime Control,890.0,360.0
1478,Schizoid,Strangerhood,390.0,70.0
1479,Willie Bobo,It´s Not Unusual,510.0,820.0
1480,Various Artists,Running Sabotage,530.0,520.0
1481,Alexis HK,Maudits anglois,640.0,390.0
1482,The Family Stand,The Education Of Jamie,560.0,330.0
1483,Buddy Johnson,Because - Part 1,170.0,150.0
1484,Andy & Lucas,Dios Bendiga,940.0,660.0
1485,Various Artists,If I Had My Way I'd Tear This Building Down,380.0,590.0
1486,Fito Paez,La Ley De La Vida,770.0,750.0
1487,Wet Wet Wet,Goodnight Girl,200.0,410.0
1488,Jacob Young,Print,280.0,500.0
1489,Rhian Sheehan,An Afternoon on the Moon - Jet Jaguar Remix,200.0,50.0
1490,The Fabulous Thunderbirds,Rainin' in My Heart,520.0,320.0
1491,Chris Vickery,Jokers and Thieves,550.0,610.0
1492,Riviera Regime,Doin' It,740.0,580.0
1493,Kool Keith,Wanna Be A Star,870.0,500.0
1494,Kanye West,Heard 'Em Say,700.0,570.0
1495,Various Artists,Hot Cross Bun,860.0,820.0
1496,Various Artists,Please Come Home For Christmas,310.0,270.0
1497,Rhian Sheehan,Existing Alone,490.0,90.0
1498,The Ghost Of Lemora,Reach For The Ground,830.0,570.0
1499,Robin Frederick,Calling Dr. Zarkov,560.0,920.0
1500,Y&T,Black Tiger,920.0,420.0
1501,Dolores Keane,Telling Me Lies,340.0,140.0
1502,Rev. Timothy Wright,I Know a Man,950.0,590.0
1503,Earl Hooker,Love Ain't A Play Thing,450.0,560.0
1504,Bob Marley & The Wailers,Small Axe,530.0,830.0
1505,Shade Sheist,Holla Boyz Outro,550.0,660.0
1506,Placebo,Evalia,560.0,600.0
1507,A Tribe Called Quest,Scenario - LP Mix,600.0,630.0
1508,Pentangle,Hole in the Coal,440.0,650.0
1509,Jaime Urrutia,Suite nupcial - Directo Enjoy 07,900.0,700.0
1510,Cobra Killer,Kick Jump - Part Jump,660.0,300.0
1511,Bitmonx,Battle Of The Tom Tom,720.0,30.0
1512,Nicholas,Poaki,630.0,960.0
1513,Marvin Sapp,Smile,640.0,530.0
1514,Teenage Fanclub,The Sun Shines from You - Remastered,900.0,890.0
1515,Dark Fortress,Ghastly Indoctrination,810.0,40.0
1516,Eddie Turner,Rise,930.0,710.0
1517,Birmingham Jubilee Singers,Toot Toot Dixie Bound,270.0,630.0
1518,Jimmy Wakely,Midnight Wind - Mono,170.0,480.0
1519,Jeff & Sheri Easter,There Is a Way,840.0,820.0
1520,X-Raided,Assisted Suicide,480.0,540.0
1521,Jeff Beck,Ice Cream Cakes,700.0,780.0
1522,Steve Smith,Better Off That Way,480.0,210.0
1523,Sugar Minott,Informer,670.0,840.0
1524,Gene Latter,Groove It,730.0,890.0
1525,Kings of Leon,Genius,830.0,510.0
1526,Christie Hennessy,Roll Back the Clouds,130.0,320.0
1527,The Stooges,Studio Dialogue - #19,180.0,490.0
1528,Flamin' Groovies,Evil Hearted Ada,940.0,720.0
1529,Marga Gomez,Introduction,710.0,280.0
1530,Roberto Roena Y Su Apollo Sound,Oriza Eh,750.0,970.0
1531,Rocío Jurado,Mi Amante Amigo,280.0,450.0
1532,Salieri,Now Everybody's Gone,40.0,60.0
1533,Royal S,I.a.i,610.0,540.0
1534,Everyday Sunday,Let's Go Back - Wake Up! Wake Up! Album Version,880.0,630.0
1535,Buckwheat Zydeco,Hot Tamale Baby,990.0,780.0
1536,Charley Pride,Let The Chips Fall - Digitally Remastered,340.0,580.0
1537,Louis Prima,When You're Smiling/The Sheik Of Araby,690.0,800.0
1538,Various Artists,The Wonders,400.0,500.0
1539,Various Artists,Dama Dam Mast Kalander,530.0,850.0
1540,Various Artists,Get Picked Up,780.0,510.0
1541,Les Ogres De Barback,Printemps - Chant,500.0,890.0
1542,Memphis Jug Band,Oh Ambulance Man,250.0,680.0
1543,Nelson Ned,La Barca,700.0,440.0
1544,Juan Farcik,Laziness,860.0,290.0
1545,Saigon Kick,ICU,890.0,360.0
1546,Nicho Hinojosa,Tómame o Déjame,400.0,480.0
1547,Michael Jackson,Just A Little Bit Of You,680.0,910.0
1548,X-Raided,Fuckin' Wita Psycho,830.0,780.0
1549,The Nelons,Only A Look - Glad You're Here Album Version,280.0,150.0
1550,DJ Lucky,Them Do It Horns,710.0,140.0
1551,Incubus,Just a Phase,560.0,90.0
1552,Various Artists,Love & Devotion,760.0,550.0
1553,Radio Moscow,Broke Down,880.0,790.0
1554,Vusi Mahlasela,Amdokwe,390.0,220.0
1555,John D. Loudermilk,Nassau Town,420.0,280.0
1556,Tina Ann,Too Late (Orange Factory Extended Mix),950.0,640.0
1557,Conjunto Mar Azul de Chanín Ventura,Díme,470.0,770.0
